id,ltable_ID,rtable_ID,ltable_title,ltable_artist,ltable_year,rtable_title,rtable_artist,rtable_year
3748,b169437,a9433,Lost Without You,Delta Goodrem,2003,Lost Without You,Delta Goodrem,2003
3751,b602663,a9434,Predictable,Delta Goodrem,2003,Predictable,Delta Goodrem,2003
3754,b457139,a9437,Evil Woman,Electric Light Orchestra,1975,Evil Woman,Electric Light Orchestra,1976
3757,b412728,a9454,Above And Beyond,Edgar Winter,2007,Above and Beyond,Edgar Winter,1979
3775,b593890,a9503,I'm Too Sexy,Right Said Fred,1991,I'm Too Sexy,Right Said Fred,1991
3776,b632745,a9504,Deeply Dippy,Right Said Fred,1992,Deeply Dippy,Right Said Fred,1992
3777,b822962,a9511,Watching The Detectives,Elvis Costello,1977,Watching the Detectives,Elvis Costello,1977
3781,b798742,a9512,Mystery Dance,Elvis Costello & The Attractions,1977,Mystery Dance,Elvis Costello,1977
3782,b786976,a9518,Speed Trials,Elliott Smith,0,Speed Trials,Elliott Smith,1996
3783,b781971,a9520,Ballad Of Big Nothing,Elliott Smith,0,Ballad of Big Nothing,Elliott Smith,1998
3785,b197136,a9531,Secret,Orchestral Manoeuvres In The Dark,1984,Secret,Orchestral Manoeuvres in the Dark,1985
3797,b123625,a9555,Rock Show,Peaches,0,Rock Show,Peaches-Electric Six,2003
3798,b221592,a9571,Mistaken Identity,Delta Goodrem,2004,Mistaken Identity,Delta Goodrem,2004
3800,b203627,a9572,Almost Here,Brian McFadden featuring Delta Goodrem,2004,Almost Here,Brian McFadden-Delta Goodrem,2005
3802,b405059,a9573,Be Strong,Delta Goodrem,2004,Be Strong,Delta Goodrem,2005
3803,b328686,a9576,In This Life,Delta Goodrem,2007,In This Life,Delta Goodrem,2007
3807,b822978,a9577,Strange Magic,Electric Light Orchestra,1975,Strange Magic,Electric Light Orchestra,1976
3809,b572984,a9579,Mr. Blue Sky,Electric Light Orchestra,1977,Mr. Blue Sky,Electric Light Orchestra,1977
3812,b375383,a9588,Waking Up,Elastica,1995,Waking Up,Elastica,1995
3813,b63410,a9589,Car Song,Elastica,1995,Car Song,Elastica,1996
3826,b710713,a9631,Sulky Girl,Elvis Costello,1994,Sulky Girl,Elvis Costello,1994
3827,b686348,a9633,Baby Britain,Elliott Smith,0,Baby Britain,Elliott Smith,1999
3828,b352492,a9657,We Built This City,Starship,1985,We Built This City,Starship,1985
3838,b698276,a9699,Believe Again,Delta Goodrem,2007,Believe Again,Delta Goodrem,2007
3841,b381816,a9704,Turn To Stone,Electric Light Orchestra,1977,Turn To Stone,Electric Light Orchestra,1977
3843,b384907,a9705,Wild West Hero,Electric Light Orchestra,1977,Wild West Hero,Electric Light Orchestra,1978
3844,b460334,a9706,Sweet Talkin' Woman,Electric Light Orchestra,1977,Sweet Talkin’ Woman,Electric Light Orchestra,1978
3849,b372565,a9740,Dose,Filter,1994,Dose,Filter,1995
3850,b762654,a9774,Nothing\x19s Gonna Stop Us Now,Starship,0,Nothing's Gonna Stop Us Now,Starship,1987
3864,b74883,a9821,A Little Too Late,Delta Goodrem,2004,A Little Too Late,Delta Goodrem,—
3866,b508537,a9823,Don't Bring Me Down,Electric Light Orchestra,1979,Don’t Bring Me Down,Electric Light Orchestra,1979
3870,b419227,a9824,Shine A Little Love,Electric Light Orchestra,1979,Shine a Little Love,Electric Light Orchestra,1979
3879,b590439,a9843,I Got You Babe,Sonny & Cher,1965,I Got You Babe,Sonny & Cher,—
3881,b452204,a9844,Two Way Monologue,Sondre Lerche,2002,Two Way Monologue,Sondre Lerche,2004
3882,b623115,a9848,Phantom Punch,Sondre Lerche,2006,Phantom Punch,Sondre Lerche,2006
3885,b127076,a9849,Say It All,Sondre Lerche And The Faces Down,0,Say It All,Sondre Lerche,2007
3887,b712906,a9860,Hey Man Nice Shot,Filter,1993,Hey Man Nice Shot,Filter,1995
3889,b617414,a9861,Jurassitol,Filter,1996,Jurassitol,Filter,1996
3890,b799379,a9862,One,Filter,1998,One,Filter,1998
3892,b786926,a9869,Sweet Dreams (Are Made Of This),Eurythmics,1983,Sweet Dreams (Are Made of This),Eurythmics,1983
3897,b238699,a9883,Heavenly Action,Erasure,1985,Heavenly Action,Erasure,1985
3898,b780217,a9909,Thnks fr th Mmrs,Fall Out Boy,2007,Thnks fr th Mmrs,Fall Out Boy,2007
3905,b654488,a9911,Epic,Faith No More,1989,Epic,Faith No More,1989
3906,b630955,a9912,From Out Of Nowhere,Faith No More,1989,From Out of Nowhere,Faith No More,1989
3910,b264145,a9913,Falling To Pieces,Faith No More,1989,Falling to Pieces,Faith No More,1990
3913,b633936,a9914,A Small Victory,Faith No More,1992,A Small Victory,Faith No More,1992
3914,b256634,a9917,Fireside Favourites,Fad Gadget,2007,Fireside Favourite,Fad Gadget,1980
3916,b305112,a9918,Make Room,Fad Gadget,1981,Make Room,Fad Gadget,1981
3921,b125820,a9945,Four Little Diamonds,Electric Light Orchestra,1983,Four Little Diamonds,Electric Light Orchestra,1983
3923,b300403,a9976,Cars,Gary Numan,1979,Cars,Gary Numan,1979
3924,b389890,a9977,Parisienne Walkways,Gary Moore / Phil Lynott,1996,Parisienne Walkways,Gary Moore,1979
3926,b607614,a9984,The Best Things,Filter,1999,The Best Things,Filter,2000
3929,b226254,a9998,Here Comes The Rain Again,Eurythmics,1983,Here Comes the Rain Again,Eurythmics,1984
3930,b769923,a10000,Sexcrime (Nineteen Eighty-Four),Eurythmics,1984,Sexcrime (Nineteen Eighty-Four),Eurythmics,1985
3931,b579031,a10001,Sisters Are Doin' It For Themselves,Eurythmics;Aretha Franklin,1991,Sisters Are Doin’ It for Themselves,Eurythmics-Aretha Franklin,1985
3935,b243099,a10035,Beat It,Fall Out Boy,2008,Beat It,Fall Out Boy-John Mayer,2008
3938,b493388,a10036,I Don't Care,Fall Out Boy,2008,I Don't Care,Fall Out Boy,2008
3943,b521674,a10037,America's Suitehearts,Fall Out Boy,2008,America's Suitehearts,Fall Out Boy,2008
3946,b47049,a10038,Everything's Ruined,Faith No More,1992,Everything’s Ruined,Faith No More,1992
3947,b257826,a10039,Midlife Crisis,Faith No More,1992,Midlife Crisis,Faith No More,1992
3952,b591329,a10040,Easy,Faith No More,1992,Easy,Faith No More,1993
3953,b228445,a10041,Digging The Grave,Faith No More,1993,Digging the Grave,Faith No More,1995
3954,b530662,a10042,Evidence,Faith No More,1995,Evidence,Faith No More,1995
3955,b411710,a10046,For Whom The Bells Toll,Fad Gadget,1982,For Whom the Bells Toll,Fad Gadget,1982
3956,b381590,a10048,I Discover Love,Fad Gadget,1983,I Discover Love,Fad Gadget,1983
3958,b519569,a10049,Collapsing New People,Fad Gadget,1984,Collapsing New People,Fad Gadget,1984
3959,b591840,a10062,Calling America,Electric Light Orchestra,1986,Calling America,Electric Light Orchestra,1986
3970,b136920,a10095,We Are Glass,Gary Numan,1980,We Are Glass,Gary Numan,1980
3971,b74617,a10118,Thorn In My Side,Eurythmics,1986,Thorn in My Side,Eurythmics,1986
3973,b214809,a10148,Last Cup Of Sorrow,Faith No More,1997,Last Cup of Sorrow,Faith No More,1997
3974,b262318,a10171,Take Me Out,Franz Ferdinand,2003,Take Me Out,Franz Ferdinand,2004
3976,b142418,a10174,Hang On To Your Ego,Frank Black,1993,Hang On to Your Ego,Frank Black,1993
3977,b148945,a10179,Kiss With A Fist,Florence + The Machine,2009,Kiss With a Fist,Florence + the Machine,2008
3981,b601088,a10221,Love Is A Stranger,Eurythmics,1983,Love Is a Stranger,Eurythmics,1991
3983,b669023,a10223,Blue Savannah,Erasure,1989,Blue Savannah,Erasure,1989
3986,b326715,a10226,Chorus,Erasure,1991,Chorus,Erasure,1991
3987,b209939,a10253,Michael,Franz Ferdinand,2004,Michael,Franz Ferdinand,2004
3989,b74600,a10254,This Fire,Franz Ferdinand,2004,This Fire,Franz Ferdinand,2004
3991,b516424,a10256,Do You Want To,Franz Ferdinand,2005,Do You Want To,Franz Ferdinand,2005
3998,b333311,a10258,Headache,Frank Black,1994,Headache,Frank Black,1994
3999,b159019,a10259,Speedy Marie,Frank Black,1994,Speedy Marie,Frank Black,1994
4000,b531072,a10261,The Marsist,Frank Black,1996,The Marsist,Frank Black,1995
4001,b524077,a10262,I Don't Want To Hurt You (Every Single Time),Frank Black,1996,I Don’t Want to Hurt You (Every Single Time),Frank Black,1996
4003,b765566,a10275,Open Your Eyes,Guano Apes,1997,Open Your Eyes,Guano Apes,1997
4007,b16304,a10276,Dog Days Are Over,Florence + The Machine,2009,Dog Days Are Over,Florence + the Machine,2008
4008,b141192,a10277,Rabbit Heart (Raise It Up),Florence + The Machine,2009,Rabbit Heart (Raise It Up),Florence + the Machine,2009
4011,b77655,a10278,Drumming Song,Florence + The Machine,2009,Drumming Song,Florence + the Machine,2009
4013,b97212,a10279,You've Got The Love,Florence + The Machine,2009,You've Got the Love,Florence + the Machine,2009
4018,b722963,a10281,Cosmic Love,Florence + The Machine,2009,Cosmic Love,Florence + the Machine,2010
4019,b691144,a10288,The Company,Fish,0,The Company,Fish,1989
4020,b151149,a10289,A Gentleman's Excuse Me,Fish,0,A Gentleman's Excuse Me,Fish,1990
4029,b560123,a10307,Dreams,The Cranberries,1992,Dreams,The Cranberries,1992
4030,b632929,a10308,Linger,The Cranberries,1993,Linger,The Cranberries,1993
4035,b668877,a10309,Zombie,The Cranberries,1994,Zombie,The Cranberries,1994
4039,b325519,a10310,Ode To My Family,The Cranberries,1994,Ode to My Family,The Cranberries,1994
4041,b672017,a10311,I Can't Be With You,The Cranberries,1994,I Can't Be With You,The Cranberries,1995
4042,b654454,a10312,Ridiculous Thoughts,The Cranberries,1994,Ridiculous Thoughts,The Cranberries,1995
4045,b395128,a10338,17 Again,Eurythmics,1999,17 Again,Eurythmics,1999
4046,b395128,a10339,17 Again,Eurythmics,1999,17 Again,Eurythmics,1999
4047,b120797,a10341,Love To Hate You,Erasure,1991,Love to Hate You,Erasure,1991
4048,b285339,a10344,The Circus,Erasure,1987,The Circus,Erasure,1993
4049,b455152,a10378,Learnalilgivinanlovin,Gotye,2006,Learnalilgivinanlovin,Gotye,2008
4052,b369731,a10388,Walk Away,Franz Ferdinand,2005,Walk Away,Franz Ferdinand,2005
4055,b725177,a10389,The Fallen,Franz Ferdinand,2005,The Fallen,Franz Ferdinand,2006
4059,b329595,a10390,Eleanor Put Your Boots On,Franz Ferdinand,2005,Eleanor Put Your Boots On,Franz Ferdinand,2006
4063,b181409,a10408,Rain,Guano Apes,1997,Rain,Guano Apes,1998
4067,b250746,a10411,No Speech,Guano Apes,2000,No Speech,Guano Apes,2000
4069,b551573,a10427,Salvation,The Cranberries,1996,Salvation,The Cranberries,1996
4074,b508105,a10428,When You're Gone,The Cranberries,1996,When You're Gone,The Cranberries,1996
4076,b454761,a10431,Hollywood,The Cranberries,1996,Hollywood,The Cranberries,1997
4083,b575280,a10432,Promises,The Cranberries,1999,Promises,The Cranberries,1999
4093,b389890,a10434,Parisienne Walkways,Gary Moore / Phil Lynott,1996,Parisienne Walkways '93,Gary Moore,1993
4094,b732462,a10435,Need Your Love So Bad,Gary Moore,1995,Need Your Love So Bad,Gary Moore,1995
4096,b361311,a10442,I've Got A Life,Eurythmics,2005,I've Got a Life,Eurythmics,2005
4097,b436687,a10443,Revival,Eurythmics,1989,Revival,Eurythmics,—
4098,b626734,a10444,You Have Placed A Chill In My Heart,Eurythmics,1985,You Have Placed a Chill in My Heart,Eurythmics,—
4099,b287361,a10457,Love Hurts,Gram Parsons,1974,Love Hurts,Gram Parsons,1974
4100,b372048,a10464,Freakin' Out,Graham Coxon,2004,Freakin' Out,Graham Coxon,2004
4101,b294129,a10466,Spectacular,Graham Coxon,2004,Spectacular,Graham Coxon,2004
4104,b564511,a10484,Dirty Harry,Gorillaz,2005,Dirty Harry,Gorillaz,2005
4105,b770963,a10498,Lucid Dreams,Franz Ferdinand,2008,Lucid Dreams,Franz Ferdinand,2008
4108,b148267,a10499,Ulysses,Franz Ferdinand,2008,Ulysses,Franz Ferdinand,2009
4114,b516156,a10500,No You Girls,Franz Ferdinand,2009,No You Girls,Franz Ferdinand,2009
4123,b283048,a10501,Can't Stop Feeling,Franz Ferdinand,2009,Can't Stop Feeling,Franz Ferdinand,2009
4124,b221857,a10502,What She Came For,Franz Ferdinand,2009,What She Came For,Franz Ferdinand,2009
4127,b250362,a10503,Live Alone,Franz Ferdinand,2009,Live Alone,Franz Ferdinand,2009
4129,b257017,a10509,Wonderlust King,Gogol Bordello,2005,Wonderlust King,Gogol Bordello,2007
4130,b726424,a10514,Cry,Godley & Creme,1985,Cry,Godley & Creme,1985
4132,b367373,a10531,You Can't Stop Me,Guano Apes,2003,You Can’t Stop Me,Guano Apes,2003
4133,b593387,a10532,Quietly,Guano Apes,2003,Quietly,Guano Apes,2003
4134,b494311,a10533,Pretty In Scarlet,Guano Apes,2003,Pretty in Scarlet,Guano Apes,2003
4137,b618131,a10540,Change Of Heart,Fish,0,Change of Heart,Fish,1997
4138,b457124,a10541,Animal Instinct,The Cranberries,1999,Animal Instinct,The Cranberries,1999
4145,b36387,a10544,Analyse,The Cranberries,2001,Analyse,The Cranberries,2001
4146,b108921,a10545,Time Is Ticking Out,The Cranberries,2001,Time Is Ticking Out,The Cranberries,2002
4148,b242672,a10546,This Is The Day,The Cranberries,2001,This Is the Day,The Cranberries,2002
4151,b505882,a10554,In My Arms,Erasure,1997,In My Arms,Erasure,1997
4152,b61198,a10555,Don't Say Your Love Is Killing Me,Erasure,1997,Don't Say Your Love Is Killing Me,Erasure,1997
4153,b710519,a10571,You & I,Graham Coxon,2006,You & I,Graham Coxon,2006
4154,b486831,a10576,Sorrow's Army,Graham Coxon,2009,Sorrow's Army,Graham Coxon,—
4155,b694120,a10578,Life Got Cold,Girls Aloud,2003,Life Got Cold,Girls Aloud,2003
4156,b538812,a10579,Jump,Girls Aloud,2003,Jump,Girls Aloud,2003
4157,b494503,a10580,The Show,Girls Aloud,2004,The Show,Girls Aloud,2004
4158,b357470,a10581,Love Machine,Girls Aloud,2004,Love Machine,Girls Aloud,2004
4160,b817293,a10582,The Chase,Giorgio Moroder,1996,The Chase,Giorgio Moroder,1978
4166,b132900,a10584,Reach Out,Giorgio Moroder,1997,Reach Out,Giorgio Moroder-Paul Engemann,1984
4168,b700527,a10586,Evolution,Giorgio Moroder,1985,Evolution,Giorgio Moroder,1994
4169,b548381,a10595,Rhinestone Eyes,Gorillaz,2010,Rhinestone Eyes,Gorillaz,2011
4171,b354336,a10622,Let Me Go The Right Way,The Supremes,1962,Let Me Go the Right Way,The Supremes,1962
4182,b254906,a10648,Rain,Erasure,1997,Rain,Erasure,1997
4188,b580476,a10657,Aarresaari,Aikakone,1996,Aarresaari,Aikakone,1997
4192,b26434,a10667,Undead,Hollywood Undead,2008,Undead,Hollywood Undead,2009
4194,b550858,a10669,Retard Girl,Hole,1990,Retard Girl,Hole,1990
4195,b174786,a10677,Slowly,Amon Tobin,2000,Slowly,Amon Tobin,2000
4198,b617375,a10679,Verbal,Amon Tobin,2002,Verbal,Amon Tobin,2002
4202,b61972,a10695,Power Of You,Allure ft. Christian Burns,0,Power Of You,Allure-Christian Burns,2008
4205,b525001,a10703,Wake Me Up,Girls Aloud,2004,Wake Me Up,Girls Aloud,2004
4209,b763315,a10705,Biology,Girls Aloud,2005,Biology,Girls Aloud,2005
4210,b817293,a10708,The Chase,Giorgio Moroder,1996,The Chase,Giorgio Moroder-Jam & Spoon,2000
4216,b428396,a10709,Never Ending Story,Giorgio Moroder,2000,Never Ending Story,Giorgio Moroder,2000
4222,b358471,a10727,When The Lovelight Starts Shining Through His Eyes,The Supremes,1963,When the Lovelight Starts Shining Through His Eyes,The Supremes,1963
4226,b754708,a10732,Everlasting Love,Gloria Estefan,1994,Everlasting Love,Gloria Estefan,1994
4230,b129276,a10756,Les Beaux Jours,Agoria,2005,Les Beaux Jours,Agoria,2005
4231,b797271,a10759,Les Violons Ivres,Agoria,2006,Les Violons ivres,Agoria,2007
4233,b445423,a10760,Dust,Agoria,2008,Dust,Agoria-Scalde,2008
4234,b746113,a10768,Wounded,He Is Legend,0,Wounded,He Is Legend,2005
4236,b630280,a10777,City,Hollywood Undead,2008,City,Hollywood Undead,2009
4238,b797484,a10785,Miss World,Hole,1994,Miss World,Hole,1994
4239,b378824,a10786,Doll Parts,Hole,1994,Doll Parts,Hole,1994
4240,b213967,a10787,Violet,Hole,1994,Violet,Hole,1994
4241,b631975,a10797,Bloodstone,Amon Tobin,2008,Bloodstone,Amon Tobin,2006
4243,b605757,a10819,Whole Lotta History,Girls Aloud,2005,Whole Lotta History,Girls Aloud,2006
4244,b533781,a10820,Something Kinda Ooooh,Girls Aloud,2006,Something Kinda Ooooh,Girls Aloud,2006
4247,b658232,a10821,I Think We're Alone Now,Girls Aloud,2006,I Think We're Alone Now,Girls Aloud,2006
4249,b89005,a10823,Sexy! No No No...,Girls Aloud,2007,Sexy! No No No...,Girls Aloud,2007
4250,b209727,a10824,From here to Eternity,Giorgio Moroder Vs. Danny Tenaglia,1977,From Here to Eternity,Giorgio Moroder-Danny Tenaglia,2000
4253,b655957,a10825,Flashdance (What A Feeling),Giorgio Moroder & Irene Cara,2005,Flashdance (What a Feeling),Giorgio Moroder,2001
4257,b377375,a10833,Baby Love,The Supremes,1964,Baby Love,The Supremes,1964
4258,b329684,a10834,Come See About Me,The Supremes,1964,Come See About Me,The Supremes,1964
4261,b299820,a10836,Back In My Arms Again,The Supremes,1965,Back in My Arms Again,The Supremes,1965
4265,b758185,a10878,Baby Interphase,Biosphere,1991,Baby Interphase,Biosphere,1993
4266,b469915,a10880,Diva Drive,Agoria,2008,Diva Drive,Agoria,2009
4273,b171817,a10902,Celebrity Skin,Hole,1998,Celebrity Skin,Hole,1998
4275,b555552,a10903,Malibu,Hole,1998,Malibu,Hole,1998
4277,b428418,a10904,Awful,Hole,1998,Awful,Hole,1999
4279,b537804,a10921,Can't Speak French,Girls Aloud,2007,Can't Speak French,Girls Aloud,2008
4284,b382105,a10930,The Ballroom Blitz,The Sweet,1973,The Ballroom Blitz,The Sweet,1973
4285,b269826,a10935,I Hear A Symphony,The Supremes,1977,I Hear a Symphony,The Supremes,1965
4288,b550329,a10942,Live For Loving You,Gloria Estefan,1991,Live for Loving You,Gloria Estefan,—
4289,b315713,a10947,Sunday Girl,Erasure,2007,Sunday Girl,Erasure,2007
4294,b39947,a10963,Flake,Jack Johnson,2000,Flake,Jack Johnson,2000
4297,b706638,a10978,Running Free,Iron Maiden,1980,Running Free,Iron Maiden,1980
4298,b495752,a10981,Keep The Circle Around,Inspiral Carpets,1999,Keep The Circle Around,Inspiral Carpets,1988
4300,b730578,a10995,Tanzen,Herbert Gr\xc3\xb6nemeyer,1986,Tanzen,Herbert Grönemeyer,1986
4301,b331282,a10996,Seti Project,Biosphere,1994,Seti Project,Biosphere,1994
4302,b222025,a11000,Catch My Fall,Billy Idol,1983,Catch My Fall,Billy Idol,1984
4304,b786402,a11001,Eyes Without A Face,Billy Idol,1983,Eyes Without a Face,Billy Idol,1984
4306,b503801,a11022,You Can't Hurry Love,The Supremes,1966,You Can't Hurry Love,The Supremes,1966
4308,b535539,a11023,You Keep Me Hangin' On,The Supremes,1987,You Keep Me Hangin' On,The Supremes,1966
4310,b534277,a11024,Love Is Here And Now You're Gone,The Supremes,1967,Love Is Here and Now You're Gone,The Supremes,1967
4312,b706943,a11032,The Bottom Line,Big Audio Dynamite,1985,The Bottom Line,Big Audio Dynamite,1985
4314,b340875,a11033,C'mon Every Beatbox,Big Audio Dynamite,1986,C’mon Every Beatbox,Big Audio Dynamite,1986
4315,b198862,a11034,Medicine Show,Big Audio Dynamite,1985,Medicine Show,Big Audio Dynamite,1986
4316,b764295,a11035,V. Thirteen,Big Audio Dynamite,1986,V. Thirteen,Big Audio Dynamite,1987
4322,b187777,a11057,Taylor,Jack Johnson,2003,Taylor,Jack Johnson,2004
4323,b156803,a11058,Better Together,Jack Johnson,2005,Better Together,Jack Johnson,2006
4325,b344589,a11059,If I Had Eyes,Jack Johnson,2007,If I Had Eyes,Jack Johnson,2007
4327,b477236,a11060,You And Your Heart,Jack Johnson,2010,You and Your Heart,Jack Johnson,2010
4333,b83737,a11084,Move,Inspiral Carpets,1989,Move,Inspiral Carpets,1989
4335,b366976,a11087,This Is How It Feels,Inspiral Carpets,1990,This Is How It Feels,Inspiral Carpets,1990
4341,b290603,a11099,L.A. Woman,Billy Idol,1990,L.A. Woman,Billy Idol,1990
4342,b328096,a11100,Prodigal Blues,Billy Idol,1990,Prodigal Blues,Billy Idol,1990
4343,b172717,a11101,Heroin,Billy Idol,1993,Heroin,Billy Idol,1993
4344,b78922,a11112,The Happening,The Supremes,1967,The Happening,The Supremes,1967
4346,b353309,a11116,River Deep_ Mountain High,The Supremes / Four Tops,0,River Deep - Mountain High,The Supremes-Four Tops,1970
4348,b333833,a11156,The Horizon Has Been Defeated,Jack Johnson,2003,The Horizon Has Been Defeated,Jack Johnson,—
4350,b377353,a11157,Upside Down,Jack Johnson,2006,Upside Down,Jack Johnson,—
4352,b799579,a11178,Bitches Brew,Inspiral Carpets,1992,Bitches Brew,Inspiral Carpets,1992
4353,b191771,a11179,Dragging Me Down,Inspiral Carpets,1992,Dragging Me Down,Inspiral Carpets,1992
4355,b683580,a11187,Luxus,Herbert Gr\xc3\xb6nemeyer,1990,Luxus,Herbert Grönemeyer,1990
4361,b95611,a11192,Scream,Billy Idol,2005,Scream,Billy Idol,2005
4362,b378172,a11204,You Gotta Have Love In Your Heart,The Supremes / Four Tops,1971,You Gotta Have Love in Your Heart,The Supremes-Four Tops,1971
4370,b156201,a11226,I Turned Out A Punk,Big Audio Dynamite,1995,I Turned Out a Punk,Big Audio Dynamite,1995
4372,b152196,a11256,Wasted Years,Iron Maiden,1986,Wasted Years,Iron Maiden,1986
4373,b243058,a11260,How It Should Be,Inspiral Carpets,1993,How It Should Be,Inspiral Carpets,1993
4374,b258039,a11261,Saturn 5,Inspiral Carpets,1994,Saturn 5,Inspiral Carpets,1994
4376,b689232,a11262,I Want You,Inspiral Carpets,1994,I Want You,Inspiral Carpets-Mark E. Smith,1994
4379,b792912,a11270,Marie,Herbert Gr\xc3\xb6nemeyer,1990,Marie,Herbert Grönemeyer,1991
4383,b211930,a11301,Margaritaville,Jimmy Buffett,1977,Margaritaville,Jimmy Buffett,1977
4384,b464865,a11308,Rise Up With Fists!!,Jenny Lewis with The Watson Twins,0,Rise Up With Fists!!,Jenny Lewis-The Watson Twins,2006
4385,b377607,a11314,Last Goodbye,Jeff Buckley,1994,Last Goodbye,Jeff Buckley,1995
4387,b494074,a11326,Rockin' Into The Night,38 Special,1979,Rockin' Into the Night,38 Special,1979
4389,b487979,a11329,Caught Up In You,38 Special,1982,Caught Up in You,38 Special,1982
4390,b146578,a11330,You Keep Runnin' Away,38 Special,1998,You Keep Runnin' Away,38 Special,1982
4392,b576673,a11365,Bad Weather,The Supremes,1973,Bad Weather,The Supremes,1973
4402,b531456,a11388,Busy,Jawbreaker,1989,Busy,Jawbreaker,1989
4403,b599922,a11396,When You Gonna Learn?,Jamiroquai,2002,When You Gonna Learn?,Jamiroquai,1992
4405,b39607,a11401,It's Five O' Clock Somewhere,Alan Jackson,0,It's Five O'Clock Somewhere,Alan Jackson-Jimmy Buffett,—
4406,b504690,a11406,Eanie Meany,Jim Noir,2005,Eanie Meany,Jim Noir,—
4407,b451726,a11413,You Are What You Love,Jenny Lewis with The Watson Twins,0,You Are What You Love,Jenny Lewis-The Watson Twins,2006
4409,b592426,a11419,Everybody Here Wants You,Jeff Buckley,1998,Everybody Here Wants You,Jeff Buckley,1998
4412,b769929,a11422,If I'd Been The One,38 Special,1983,If I'd Been The One,38 Special,1983
4414,b378976,a11446,Mensch,Herbert Gr\xc3\xb6nemeyer,2002,Mensch,Herbert Grönemeyer,2002
4415,b607282,a11449,Demo (Letzter Tag),Herbert Gr\xc3\xb6nemeyer,2002,Demo (Letzter Tag),Herbert Grönemeyer,2003
4419,b469208,a11458,You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,1974,You Ain’t Seen Nothing Yet,Bachman-Turner Overdrive,1974
4423,b198100,a11459,Killamangiro,Babyshambles,2004,Killamangiro,Babyshambles,2004
4425,b774496,a11484,Static,Jawbox,1992,Static,Jawbox-Tar,1993
4426,b634712,a11498,Too Young To Die,Jamiroquai,1993,Too Young to Die,Jamiroquai,1993
4428,b804577,a11499,Blow Your Mind,Jamiroquai,1993,Blow Your Mind,Jamiroquai,1993
4429,b119744,a11502,Space Cowboy,Jamiroquai,1994,Space Cowboy,Jamiroquai,1994
4434,b675304,a11505,Motor's Too Fast,James Reyne,1987,Motor's Too Fast,James Reyne,1988
4435,b249934,a11506,Any Day Above Ground,James Reyne,1991,Any Day Above Ground,James Reyne,1991
4438,b699481,a11510,Back To Paradise,38 Special,1987,Back to Paradise,38 Special,1987
4439,b296040,a11550,Sledgehammer,Bachman-Turner Overdrive,1974,Sledgehammer,Bachman-Turner Overdrive,1975
4441,b179917,a11552,Albion,Babyshambles,2005,Albion,Babyshambles,2005
4445,b706037,a11614,Virtual Insanity,Jamiroquai,1996,Virtual Insanity,Jamiroquai,1996
4446,b272525,a11627,Holy Smoke,Iron Maiden,1990,Holy Smoke,Iron Maiden,1990
4449,b127949,a11642,Kung Fu,Ash,0,Kung Fu,Ash,1995
4450,b120330,a11653,Too Shy (Midnight Mix),Kajagoogoo,1993,Too Shy (Midnight mix),Kajagoogoo,1982
4452,b589818,a11672,I Wish It Was Christmas Today,Julian Casablancas,2009,I Wish It Was Christmas Today,Julian Casablancas,2009
4453,b787395,a11684,Greetings To the New Brunette,Billy Bragg,1986,Greetings to the New Brunette,Billy Bragg,1986
4454,b474884,a11685,Levi Stubbs Tears,Billy Bragg,1992,Levi Stubbs' Tears,Billy Bragg,1986
4455,b19995,a11689,Anti-Pleasure Dissertation,Bikini Kill,1995,The Anti-Pleasure Dissertation,Bikini Kill,1995
4456,b166844,a11696,Everybody's Changing,Keane,2003,Everybody's Changing,Keane,2003
4457,b593660,a11697,This Is The Last Time,Keane,2003,This Is the Last Time,Keane,2003
4459,b478338,a11711,Cosmic Girl,Jamiroquai,1996,Cosmic Girl,Jamiroquai,1996
4463,b622190,a11712,Alright,Jamiroquai,1996,Alright,Jamiroquai,1997
4470,b240653,a11713,High Times,Jamiroquai,1996,High Times,Jamiroquai,1997
4471,b123223,a11714,Deeper Underground,Jamiroquai,1998,Deeper Underground,Jamiroquai,1998
4473,b177549,a11730,A Life Less Ordinary,Ash,0,A Life Less Ordinary,Ash,1997
4478,b160173,a11742,Red Light,Jonny Lang,2003,Red Light,Jonny Lang,2003
4480,b446290,a11743,My Secret Place,Joni Mitchell,1988,My Secret Place,Joni Mitchell,1988
4482,b689524,a11786,Sexuality,Billy Bragg,1991,Sexuality,Billy Bragg,1991
4483,b256043,a11789,Upfield,Billy Bragg,1996,Upfield,Billy Bragg,1996
4484,b529012,a11790,Bedshaped,Keane,2003,Bedshaped,Keane,2004
4485,b56269,a11791,Is It Any Wonder ?,Keane,0,Is It Any Wonder?,Keane,2006
4486,b632108,a11792,Crystal Ball,Keane,2006,Crystal Ball,Keane,2006
4487,b799052,a11793,Nothing In My Way,Keane,2006,Nothing in My Way,Keane,2006
4489,b726116,a11800,Canned Heat,Jamiroquai,1999,Canned Heat,Jamiroquai,1999
4492,b770756,a11801,Supersonic,Jamiroquai,1999,Supersonic,Jamiroquai,1999
4493,b276845,a11803,Black Capricorn Day,Jamiroquai,1999,Black Capricorn Day,Jamiroquai,2000
4495,b822530,a11805,Little L,Jamiroquai,2001,Little L,Jamiroquai,2001
4498,b138358,a11808,The Wicker Man,Iron Maiden,2000,The Wicker Man,Iron Maiden,2000
